COMMENT_ID,TEXT,IS_TOXIC
AHGGwQTP,Weak clown.,BLANK
xyPSUzjY,My neet exam is on the way I wish admin give a wishes by liking comment,BLANK
A8Xy2VDx,Sakoon ❤,BLANK
JxQldDKW,This video was fun and informative.,BLANK
lz6sKkVl,RFK needs to be locked away in a mental hospital,BLANK
4LnYfCit,me,BLANK
YqEmPBhk,No backbone. He can't even stand for facts.,BLANK
FfyRsCZI,"6.11.2025 ,,,,,,  02:54 Am",BLANK
UyvECskz,😊lawpiii ❤🎉,BLANK
6uKehvf2,"He keeps on saying Trump is for vaccines, but Trump nominated RFK Jr an antivaxer to head the Dept. 

What Trump says should never be believed Senator.  You’ve been lied to again.",BLANK
2JGQFKD8,"After the tirade on Tylenol segment during Trump's ""Cause of Autism"" variety show, he went on to tell folks how they should break down their vaccine dosages/combinations. Is that legal? I mean he is giving medical advice to the nation specifically based ""how he feels"" and those are his words.",BLANK
KaoKvvRH,"he gave the needed vote to push the confirmation so spare us the clean up act Sen Cassidy!!!!! This whole administration is a whack job, period!",BLANK
nHEiysfT,No one reads the CDC website. This is such a cop-out answer. He can't admit that he messed up. What a joke.,BLANK
vc8FBLdL,"To anybody reading this, I pray that whatever is hurting you or whatever you are constantly stressing about gets better. May the dark thoughts, the overthinking, and the doubt exit your mind may clarity replace confusion. may peace and calmness fill your life.",BLANK
cHz4u5T7,"Cassidy needs to GROW A SPINE. Cassidy let RFK Jr in, and American children will suffer the consequences of   misinformation and negligence.",BLANK
GWQkMUUI,"That's the problem you clown, RFK is disputing it. What do you not understand?????",BLANK
4Er0yAww,Hi Boris the delusional Commie of Putin 👋 😂,BLANK
06V4oWFx,Wakacje na Majorka,BLANK
HpEI83NO,"This song kinda feels sad, but I wish I could visit those places in the video:( it's ai isn't it and those pick your room shorts are so peaceful😌😌😌",BLANK
61mNbFc4,When he talks it makes my throat hurt,BLANK
J4Yaei5L,Cassidy is piss weak. How much sucking up can politicians do? Cassidy should be removed.  Or alternatively make a public statement slamming this f'wit RFK.  Buy a billboard or 100. Take out some ads. But make up for this or leave the job you idiot.,BLANK
Bpmo5fxE,"Oh, hey, he just admitted that Republicans are all against good health.  Republicans changed the insurance policies!  You dip, Cassidy!  You people are so full of CRAP!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",BLANK
NIEZXhC3,This guy doesn’t admit mistakes and then correct them. Not someone you want making decisions for anyone.,BLANK
l6WsI1Js,Hi,BLANK
n5yj1oIi,Hello,BLANK
b9BZBB8Y,Está buena la canción pero dura mucho❤❤,BLANK
WOJ5P0Ai,Any one here december 2025?🥳🎉,BLANK
M49CYXRs,"hello ,  thanks for the music .",BLANK
bBPWVkdy,موسيقى رائعة شعرت أنني سافرت بعيدا لعالم من المحبة والسلام❤❤❤❤❤❤❤❤❤😮😮😮😮😮😮😮😊😊😊😊😊😊😊,BLANK
Cnyk0jpD,There is absolutely no such thing as scientific consensus. That is the opposite of science. Do some open minded research on the history of vaccines and the crap that's in them now compared to 60 years ago and so much more.,BLANK
DCtspAmm,SO CHILL OMG <33 LOVE THE VIBE,BLANK
U86CBUIR,"Yeah, Jasmine's here.",BLANK
OvF9MhKc,He picked party over country and his oath as a doctor. He has no accountability whatsoever.,BLANK
s6RxiA1W,Just another loop...Do you call this a musical composition?,BLANK
OFB96HMz,Yy,BLANK
7OXEbQNu,"Sen Cassidy should step down. He didn't honor his oath as a doctor and senator. Cassidy, people are going to die because of your politics. Step down.",BLANK
UVTkoQwq,3 novembre 2025🎉❤,BLANK
h7TEYflv,1:16:59,BLANK
LPBpyFlT,RFK has been like a bull in a china shop. Demand his resignation now!,BLANK
wdwpdqsC,She’s even dumber with the big hair.,BLANK
QYSchoWG,"Spreading the word search Candance Owens tt page her latest post has been shadowed banned and stated this:

Two days ago, I was contacted by a high-ranking employee of the French Government. After determining this person’s position and proximity to the French couple, I have deemed this information credible enough to share publicly in the vent that something happens. 
In short, this person claims that the Macrons have executed upon and paid for my assassination. Yes, you read that correctly. More specifically, that the green light was give to a small team in the National Gendamarine Intervention Group. I am told there is one Israeli that is on this assassination squad and the plans were formalised.
Again, this person provided concrete proof that they are well placed within the French Government apparatus.
Further to this point, this person claims Charlie Kirk’s assassin trained with the French Legion 13th brigade with multi-state involvement.
Journalist Xavier Poussard’s life is also at risk. This is deadly serious. The heard of state of France apparently wants us both dead and has authorised professional units to carry this out.
I ask every person to RETWEET and share this.
I do not know who in the American government can be trusted, since this source claims our leaders are aware. But I have more specific information which is definitely verifiable, should they care to reach out to me.
To the brave official in France who did this because they were so moved by the evil of Charlie’s public execution to risk their own life – May God bless you. Truly.",BLANK
dX55QCOC,"Cassidy, a RINO, lied to the people of Louisiana who voted for him on many occasions. He needs to be replaced.",BLANK
qLp3dxg6,RFK Jr has read more medical studies than everyone in this chat combined. Including these two idiots on the screen,BLANK
KzqHzo36,Cha gpt me trajo aca,BLANK
JYjvPmsf,This is a perfect music to calm me down.,BLANK
ytmoolUC,So what is too much of a person's income for healthcare?,BLANK
JhUYX2B3,Hi,BLANK
YGaSsvg3,🤬🤬🤬 LIARS!!! WE KNOW THEY DO!!! WE LIVE WITH THE PROOF EVERYDAY!!! 🤬🤬🤬,BLANK
V3CDqrQ1,Shame shame shame Cassidy. Stop trying to push the whole “trump says it’s safe”. Trump also put Rfk in charge and you backed it!,BLANK
kGLC7jee,And it's nonsense responses like this as to why American politics isn't based in facts.,BLANK
O7FWaT6J,"I make psychedelic, calming Eastern-inspired music. If you enjoy this vibe, feel free to stop by my channel and check out my latest track. Hope you enjoy the journey",BLANK
8RGCTF5z,"This audio is so soothing for meditating, I love it, thank you",BLANK
vUXeKYdq,I put this song and my chick Sleep fast😂,BLANK
MzK7fQsO,Its titialting how pathetic the chair of a health committee is.,BLANK
sbbKc5Ya,5:28 The best action by RFKJr is dismantling the corrupt group of individuals at the FDA and their numbed bought betraying AMA.,BLANK
